CID	CIDint	IDSURVEY	TYPE	FIELD	zHD	zHDERR	z	zERR	HOST_LOGMASS	HOST_LOGMASS_ERR	SNRMAX1	SNRMAX2	SNRMAX3	PKMJD	PKMJDERR	x1	x1ERR	c	cERR	mB	mBERR	x0	x0ERR	COV_x1_c	COV_x1_x0	COV_c_x0	NDOF	FITCHI2	FITPROB	RA	DECL	TGAPMAX	MU	MUERR	MUERR_NOSIGMB	MURES	MUPULL	sbar	cbar	ERRCODE
2003iv	2003	63	0	NULL	0.03494434803724289	0.00001	0.0356	0.00001	10.608	4.08	62.4711	55.5505	55.5408	52934.164	0.289	-2.0999	0.192	-0.0755553	0.0371023	16.7687417126	0.0827509	0.00361821707724	0.000284876	-0.000238749	1.32139e-6	-8.34858e-6	8	4.3831	0.8844	42.530182	12.84591	12.84591	36.0062	0.0763	0.0763	0.033	0.434	-2.13	-0.066	0
2002G	2002	63	0	NULL	0.03506157547235489	0.00001	0.03365	0.00001	10.912	0.021	50.0052	32.2584	27.0329	52300.078	0.51	-1.5117	0.4392	0.2214	0.0413629	17.4052060635	0.0647687	0.00201338406738	0.000129249	0.00510795	-0.0000442091	-3.90545e-6	5	7.2101	0.2055	196.980347	34.0853	34.0853	35.8044	0.1194	0.1194	-0.043	-0.362	-1.403	0.214	0
2008at	2008	65	1	NULL	0.03530632331967354	0.00001	0.035	0.00001	11.489	3.291	41.4937	21.3675	19.2307	54526.59	1.002	-1.54484	0.1975	0.2329	0.0531759	17.4101462834	0.09819	0.00200423014283	0.000198836	-0.00205291	4.41749e-6	-6.82986e-6	28	23.6331	0.7468	156.801956	71.415428	71.415428	35.769	0.1331	0.1331	-0.166	-1.248	-1.456	0.182	0
1992bg	1992	50	0	NULL	0.03568	0.00001	0.0352	0.00001	10.057	4.656	36.1915	36.1914	-99	48916.652	0.461	-0.463251	0.1218	-0.0431583	0.0530719	16.5211837825	0.1152	0.00454503419556	0.00051379	-0.001352	9.43578e-6	-0.0000197651	21	16.0637	0.8127	115.576599	-62.499352	13.4938	35.8873	0.117	0.117	-0.061	-0.518	-0.445	-0.062	0
2006mo	2006	64	0	NULL	0.036762088537216187	0.00001	0.03677	0.00001	11.009	0.458	58.8339	58.8037	55.5756	54047.641	0.275	-2.20738	0.1152	0.0399716	0.0312978	17.228531239600002	0.0453772	0.00236923330184	0.000104222	-0.000271327	9.303e-7	-1.23012e-6	22	24.3137	0.331	11.66033	36.332691	36.332691	36.0927	0.0926	0.0926	0.048	0.514	-2.22	0.054	0
2007O	2007	64	0	NULL	0.03704014793038368	0.00001	0.03641	0.00001	10.984	0.03	66.6542	58.8307	52.6262	54125.801	0.363	-0.565131	0.1076	-0.0142254	0.0298752	16.6157654354	0.0394513	0.00416590236455	0.000156843	-0.000659723	4.4523e-6	-3.93079e-6	34	52.0118	0.0320777	224.0215	45.404831	45.404831	35.8779	0.0661	0.0661	-0.145	-2.197	-0.481	-0.076	0
2007cb	2007	65	1	NULL	0.03709523379802704	0.00001	0.0364	0.00001	10.759	4.072	50.0002	42.5532	39.2157	54214.785	0.781	1.1331	0.3987	-0.0788424	0.0585598	16.36866926	0.1052	0.00523016748606	0.000527802	0.0127154	-0.000116369	-0.0000285246	15	3.7765	0.9992	209.571655	-22.627312	-22.627312	36.0689	0.0842	0.0842	0.046	0.551	1.089	-0.06	0
2000cf	2000	62	0	NULL	0.037159860134124756	0.00001	0.03711	0.00001	9.327	5.504	120.6377	83.5185	60.3186	51673.238	0.275	-0.518342	0.0833375	-0.0293794	0.0280093	16.7763619342	0.0385597	0.00339977899075	0.000124733	-0.00023606	2.06229e-6	-2.74446e-6	42	72.1807	0.00349977	238.248276	65.93782	65.93782	36.1521	0.062	0.062	0.085	1.374	-0.541	0.006	64
2002bz	2002	63	0	NULL	0.03801869601011276	0.00001	0.03718	0.00001	11.033	0.443	47.6393	32.2536	27.7911	52366.812	1.012	-1.17969	0.2361	-0.114585	0.0462734	16.6544176338	0.0857317	0.0040201209778	0.000317865	-0.0000408701	7.41657e-6	-0.000011744	5	2.1902	0.9014	216.168854	26.626471	26.626471	36.1416	0.0941	0.0941	0.072	0.763	-1.227	-0.087	0
1999ef	1999	62	0	NULL	0.03813815116882324	0.00001	0.03908	0.00001	11.09	0.483	98.703	67.8603	60.3181	51457.836	0.601	0.2868	0.158	-0.0313233	0.0336903	16.870758988200002	0.0720721	0.00329387633987	0.000230032	-0.000367	8.62004e-6	-6.19775e-6	8	9.1787	0.4209	14.69302	12.74204	12.74204	36.3052	0.0633	0.0633	0.124	1.961	0.232	0.016	0
2006je	2006	64	0	NULL	0.03832492604851723	0.00001	0.0362	0.00001	11.523	0.025	45.4576	33.3371	14.7107	54010.07	0.652	-2.27947	0.2232	0.0342238	0.0716597	17.3234732794	0.1134	0.00217075085539	0.000245046	0.00676045	-0.0000327384	-0.0000162395	15	15.886	0.4609	27.72193	33.098129	33.098129	36.1954	0.1171	0.1171	0.185	1.582	-2.312	0.126	0
2008gb	2008	65	1	NULL	0.03850558400154114	0.00001	0.037	0.00001	10.109	4.629	34.7221	34.1295	32.2581	54747.047	0.032	0.078946	0.2697	-0.0213299	0.0440703	16.7760585812	0.1184	0.0035940582413	0.000421114	-0.000388796	5.36684e-7	-0.0000155092	32	15.6225	0.9955	44.488087	46.865608	46.865608	36.1504	0.0867	0.0867	0.091	1.054	-0.056	-0.005	0
1990Y	1990	50	0	NULL	0.0388	0.00001	0.0388	0.00001	9.468	5.379	32.9013	31.9344	27.8394	48117.039	0.707	-0.287568	0.204	0.2195	0.0346189	17.262737423199997	0.0666798	0.00217219951168	0.000145877	-0.00021162	-7.37343e-6	-3.97159e-6	17	27.1985	0.0753465	54.34911	-33.04121	6.7837	35.8992	0.081	0.081	-0.266	-3.283	0.126	0.148	0
2006cz	2006	64	0	NULL	0.0394107922911644	0.00001	0.0383	0.00001	10.668	4.255	66.6821	52.654	52.6282	53906.676	0.026	1.5335	0.4528	0.175	0.0384907	16.8347308765	0.0620481	0.00340484386138	0.000205657	-0.00198604	1.6493e-6	-5.42503e-6	5	21.7006	0.00137176	222.152679	-4.74192	-4.74192	35.8041	0.1158	0.1158	-0.333	-2.877	2.387	0.097	64
2008051	2008051	65	1	NULL	0.03985713794827461	0.00001	0.0385	0.00001	-9	-9	57.1429	45.4545	37.037	54616.691	0.333	0.7714	0.1357	-0.106792	0.0299714	16.3404994639	0.041998	0.00522162480994	0.000199902	-0.0000831352	-2.79103e-6	-4.42469e-6	41	64.4747	0.0144422	229.995499	4.904647	4.904647	36.1067	0.0725	0.0725	-0.041	-0.566	0.799	-0.122	0
2007ba	2007	64	0	NULL	0.03996822237968445	0.00001	0.03825	0.00001	11.204	0.425	45.451	45.4467	32.2461	54189.922	0.849	-2.99177	0.2289	-0.265063	0.0855713	16.165079887700003	0.1301	0.00630919310137	0.000574174	0.00593396	-0.000015353	-0.0000484919	21	5.6234	0.9998	229.177414	7.39664	7.39664	35.8651	0.1622	0.1622	-0.268	-1.653	-3.078	-0.407	0
1990T	1990	50	0	NULL	0.0401	0.00001	0.0401	0.00001	10.522	4.31	35.0242	35.0223	32.9015	48084.984	0.374	-0.269304	0.1601	0.0129135	0.0325694	16.9866999814	0.0558514	0.00296011757397	0.000160678	0.000117488	-6.75547e-6	-4.1535e-6	18	14.9687	0.7246	299.76712	-56.261002	10.4632	36.2062	0.0729	0.0729	-0.032	-0.446	-0.233	0.002	0
2008fr	2008	65	1	NULL	0.04024412855505943	0.00001	0.0407	0.00001	8.693	0.07	56.1798	50.7615	46.5117	54732.578	0.345	0.5671	0.1141	-0.0972489	0.0289269	16.45445697	0.0420588	0.00457297786794	0.000172963	-0.000674047	3.13265e-6	-3.92894e-6	50	21.3849	0.9999	17.955099	14.640614	14.640614	36.1925	0.0676	0.0676	-0.079	-1.172	0.623	-0.128	0
2006ak	2006	64	0	NULL	0.04049113392829895	0.00001	0.0391	0.00001	11.2	0.04	50	43.4887	41.678	53781.676	0.71	-1.24424	0.1434	0.0295722	0.0404035	17.014305931600003	0.0710626	0.00288580984834	0.000200187	-0.00171309	8.89795e-6	-6.8661e-6	27	19.1352	0.8939	167.386002	28.63101	28.63101	36.0456	0.0794	0.0794	-0.137	-1.721	-1.138	-0.03	0
2003fa	2003	63	0	NULL	0.04058386757969856	0.00001	0.0404	0.00001	8.824	4.391	83.3432	71.4444	62.464	52807.469	0.07	1.4795	0.0990175	-0.0357524	0.0264324	16.4421620715	0.0366839	0.00462544845923	0.000160017	0.000212097	-3.0967e-6	-3.43867e-6	49	74.2211	0.0146815	266.032227	40.880859	40.880859	36.1173	0.0577	0.0577	-0.138	-2.392	1.54	-0.091	0
2001az	2001	63	0	NULL	0.040925826877355576	0.00001	0.04156	0.00001	11.369	0.058	55.5364	52.6357	47.6282	52031.023	0.914	1.0783	0.4541	-0.0764904	0.0299308	16.6975540383	0.0505734	0.00386346665405	0.000183092	0.00211788	0.0000226497	-3.67913e-6	14	7.4945	0.9424	248.614487	76.029541	76.029541	36.3828	0.0726	0.0726	0.064	0.884	0.888	-0.059	0
2005lz	2005	64	0	NULL	0.041320350021123886	0.00001	0.04	0.00001	10.331	4.652	55.5455	52.6341	47.6257	53736.086	0.152	-1.19663	0.1357	0.0862725	0.032256	17.452514324600003	0.0620561	0.00192742301107	0.000118816	-0.000116715	-1.55661e-6	-2.96279e-6	31	60.3724	0.00121983	32.707199	34.982731	34.982731	36.3148	0.0696	0.0696	0.08	1.157	-1.26	0.112	64
1992bl	1992	50	0	NULL	0.04254	0.00001	0.0433	0.00001	10.826	4.07	36.1912	36.191	-99	48947.672	0.316	-1.72646	0.0847269	-0.0456269	0.0453841	17.1113024215	0.0407055	0.00263926871834	0.000102712	-0.00049718	-2.25878e-7	-3.37484e-6	21	22.006	0.4595	348.779358	-44.760159	6.7095	36.3082	0.1165	0.1165	-0.102	-0.878	-1.706	-0.084	0
2007nq	2007	65	1	NULL	0.042796872556209564	0.00001	0.04516	0.00001	11.882	0.064	31.25	29.3255	23.0415	54398.223	0.448	-1.69373	0.1709	-0.0587345	0.034327	17.1610471645	0.0513115	0.00252113959212	0.000123347	-0.0000893282	2.34447e-6	-3.39666e-6	41	22.1832	0.9949	14.390504	-0.611031	-0.611031	36.4031	0.0738	0.0738	-0.102	-1.377	-1.63	-0.1	0
2007kk	2007	65	1	NULL	0.04287826269865036	0.00001	0.0406	0.00001	11.331	0.03	48.7805	45.2488	41.4938	54383.789	0.262	0.9485	0.1357	-0.049115	0.041894	16.619314486500002	0.1262	0.00415218221703	0.000514992	-0.000698275	6.13436e-6	-0.0000186526	68	52.6986	0.9274	55.596909	39.241749	39.241749	36.2015	0.0727	0.0727	-0.065	-0.892	0.988	-0.057	0
2005hf	2005	64	0	NULL	0.04330330714583397	0.00001	0.04311	0.00001	11.154	0.017	41.6717	35.7115	34.4861	53664.094	0.731	-1.93157	0.1972	-0.0627883	0.0478783	17.0587434786	0.0851932	0.00277011145277	0.000228258	-0.00189048	0.0000154545	-0.0000111817	29	17.4385	0.9669	21.77496	19.116899	19.116899	36.2802	0.0766	0.0766	-0.12	-1.573	-1.822	-0.138	0
10805	10805	1	120	82N	0.044610001146793365	0.00001	0.04525	0.00001	9.99	0.044	180.9542	120.6353	35.0182	53698.688	0.117	-0.966477	0.3868	0.0596953	0.0259927	17.257391594599998	0.0442125	0.00218295138081	0.0000921922	0.00350573	-0.0000119867	-1.75543e-6	5	7.4253	0.2833	-15.072662	-0.013854	-0.013854	36.2942	0.0689	0.0689	-0.215	-3.122	-0.235	0.026	0
1992bh	1992	50	0	NULL	0.04509	0.00001	0.045	0.00001	10.5425	0.3	36.1914	36.1904	-99	48920.902	0.429	-0.0153908	0.1496	0.0457492	0.0449369	17.4202258888	0.0372426	0.00198574750858	0.0000718653	-0.0019933	2.92572e-6	-2.51415e-6	24	15.947	0.9164	74.918182	-58.83363	13.3485	36.5734	0.1189	0.1189	0.077	0.644	-0.057	0.073	0
1992J	1992	50	0	NULL	0.0457	0.00001	0.0457	0.00001	11.091	3.826	33.9296	31.9333	-99	48672.766	0.595	-1.74311	0.3248	0.0532111	0.0906125	17.5127171433	0.1154	0.00182347462631	0.000213535	0.018747	-0.0000464041	-0.0000172932	10	6.5754	0.8324	152.227142	-26.681101	15.2634	36.4009	0.1574	0.1574	-0.13	-0.829	-1.827	-0.013	0
2005hc	2005	64	0	NULL	0.045957401394844055	0.00001	0.04589	0.00001	10.621	0.132	45.4588	43.4818	39.9846	53668.305	0.142	0.4219	0.1204	-0.00244026	0.0278514	17.1897582651	0.0346648	0.00245534938894	0.0000819393	-0.000062723	-7.52862e-7	-1.85006e-6	54	73.2792	0.0502633	29.199789	-0.21373	-0.21373	36.5535	0.0642	0.0642	0.013	0.2	0.415	0.002	0
2008by	2008	65	1	NULL	0.04638562723994255	0.00001	0.045	0.00001	8.545	0.106	44.8433	40	35.9712	54575.051	1.141	0.4782	0.3094	-0.149682	0.0350106	16.7362993341	0.0822034	0.00352762128146	0.000262223	0.00179171	-0.0000115574	-5.93779e-6	14	5.5107	0.9868	181.337112	40.945675	40.945675	36.6244	0.091	0.091	0.128	1.403	0.304	-0.123	0
2008050	2008050	65	1	NULL	0.047032300382852554	0.00001	0.046	0.00001	-9	-9	35.7141	30.7692	20.5761	54621.207	0.68	1.0415	0.4275	0.0219174	0.0338805	16.9164918285	0.0419547	0.00307192146874	0.000123903	0.000795221	-0.0000121394	-3.23704e-6	28	34.5735	0.2189	204.198303	5.141781	5.141781	36.3215	0.0997	0.0997	-0.225	-2.251	1.663	-0.03	0
2004gu	2004	5	1	NULL	0.04713854566216469	0.00001	0.04559	0.00001	10.677	0.023	111.1112	111.1111	100	53362.523	0.121	1.2872	0.0606902	0.0748199	0.0224702	17.220126302500002	0.02627	0.00238743993453	0.0000598002	-0.000270175	3.0582e-7	-1.03869e-6	98	145.1051	0.00175752	191.602997	11.9489	11.9489	36.4656	0.0541	0.0541	-0.062	-1.137	1.313	0.051	64
2008cf	2008	65	1	NULL	0.047165676951408386	0.00001	0.04714	0.00001	-1.	0.	50	43.1035	31.4464	54595.062	0.796	1.3682	0.4518	-0.118316	0.0312816	16.685446074	0.0512442	0.00380050953852	0.000175691	-0.00103988	8.05654e-6	-4.11494e-6	19	6.8901	0.9948	211.885773	-25.447849	-25.447849	36.5709	0.0943	0.0943	-0.03	-0.319	1.472	-0.125	0
2006eq	2006	5	1	NULL	0.04814469441771507	0.00001	0.04941	0.00001	10.634	0.04	90.9091	76.9231	62.4999	53974.441	0.348	-2.09317	0.0693937	0.0903634	0.0297592	18.015559896200003	0.0513689	0.00114751645354	0.0000583329	8.20974e-7	-7.3347e-7	-1.16843e-6	48	59.528	0.1441	322.154999	1.22811	1.22811	36.7396	0.0706	0.0706	0.033	0.466	-2.102	0.101	0
2006cq	2006	64	0	NULL	0.04938001558184624	0.00001	0.0491	0.00001	11.165	0.388	62.5085	58.8339	58.8243	53890.047	0.351	-0.0918296	0.5237	0.0184245	0.0291946	17.402600179100002	0.031746	0.00201824583179	0.0000620732	0.00449183	-8.79924e-6	-1.55431e-6	10	12.0378	0.2825	201.104324	30.9562	30.9562	36.6298	0.0832	0.0832	-0.063	-0.754	0.178	0.008	0
1990af	1990	50	0	NULL	0.04992	0.00001	0.0503	0.00001	11.324	3.839	36.1924	35.0243	-99	48196.	0.167	-2.16741	0.1415	-0.0472512	0.0450691	17.5449567673	0.038061	0.00177024973838	0.0000642403	-0.00062822	-1.99382e-7	-2.10379e-6	24	10.8537	0.99	323.681458	-62.758461	7.5908	36.6851	0.1185	0.1185	-0.062	-0.521	-2.146	-0.07	0
1993ag	1993	50	0	NULL	0.05004	0.00001	0.049	0.00001	10.203	4.791	35.0237	35.0235	-99	49317.238	0.244	-0.846678	0.1363	0.0629342	0.0497583	17.6360703356	0.0743411	0.00162769672266	0.000120353	-0.00122464	2.72677e-7	-3.79967e-6	22	21.2194	0.5677	150.884232	-35.46748	11.4581	36.6196	0.1261	0.1261	-0.068	-0.542	-0.819	0.04	0
2007kh	2007	65	1	NULL	0.05028492212295532	0.00001	0.05	0.00001	8.682	0.091	32.6798	24.6914	7.7459	54365.859	1.328	0.8163	0.4218	0.1088	0.0662669	17.5138037862	0.1413	0.00172373481165	0.000248258	0.00169586	-5.88363e-6	-0.000010879	23	21.2589	0.6234	48.800205	43.170387	43.170387	36.648	0.165	0.165	-0.085	-0.518	0.891	0.088	0
1993ac	1993	61	0	NULL	0.05085526406764984	0.00001	0.05026	0.00001	11.788	0.029	54.2873	54.2863	27.144	49271.195	1.063	-0.903455	0.3642	-0.0174501	0.046249	17.537305902	0.1172	0.00178268224859	0.000210566	0.00194802	-5.17276e-6	-6.26594e-6	10	9.827	0.546	86.588654	63.373981	63.373981	36.7621	0.123	0.123	0.017	0.139	-0.92	-0.015	0
1993O	1993	50	0	NULL	0.0519	0.00001	0.0519	0.00001	-1.	0.	36.1923	35.0244	-99	49134.691	0.12	-0.653626	0.0999798	-0.0826917	0.0452177	17.358580016	0.0455812	0.00204445209623	0.0000875426	-0.0000219882	-1.18932e-6	-2.66157e-6	31	48.1917	0.0252239	202.780655	-33.220329	13.2238	36.8506	0.1159	0.1159	0.033	0.287	-0.659	-0.071	0
2010dt	2010	66	1	NULL	0.05318078771233559	0.00001	0.05288	0.00001	10.874	0.441	40.3225	35.8424	35.3357	55361.684	0.19	-0.0519796	0.4361	-0.0698166	0.0417304	17.404500000000002	0.0583962	0.00201474	0.00011133	0.00866842	-0.0000369179	-3.79659e-6	4	8.6936	0.1219	250.812759	32.67432	32.67432	36.9108	0.0971	0.0971	0.051	0.528	-0.156	-0.058	0
2008ac	2008	65	1	NULL	0.05350429192185402	0.00001	0.05283	0.00001	9.802	0.08	35.8423	28.6533	22.8832	54503.699	1.33	0.2107	0.5394	-0.0360847	0.0482387	17.5018465888	0.0808851	0.00174293202128	0.000137518	-0.00252166	0.0000412952	-6.7884e-6	7	4.3485	0.8244	178.438324	48.422443	48.422443	37.0003	0.1023	0.1023	0.143	1.398	-0.1	0.031	0
1998dx	1998	62	0	NULL	0.0541691817343235	0.00001	0.05422	0.00001	11.522	3.656	90.478	57.1442	51.7021	51072.41	0.44	-1.58762	0.2951	-0.101321	0.0329827	17.2941989985	0.0460087	0.00223008548194	0.0000938233	0.000621748	2.11895e-6	-2.3357e-6	11	7.2307	0.842	272.794495	49.85841	49.85841	36.6832	0.0798	0.0798	-0.233	-2.916	-1.249	-0.18	0
2006lu	2006	5	1	NULL	0.05473809689283371	0.00001	0.0544	0.00001	11.235	0.057	142.8572	111.1112	100	54035.742	0.319	0.2641	0.0716335	-0.171408	0.0340639	16.925034744	0.0967208	0.0031331533587	0.000267842	-0.000632011	4.40667e-6	-7.79095e-6	40	59.9538	0.0281964	138.822998	-25.6001	-25.6001	36.7906	0.057	0.057	-0.133	-2.33	0.312	-0.212	0
2003ic	2003	63	0	NULL	0.055545225739479065	0.00001	0.05538	0.00001	11.885	0.462	50.0072	41.6726	33.3348	52906.645	0.028	-1.75934	0.2479	-0.0235159	0.0379723	17.4379980494	0.058622	0.0019534104114	0.000111539	0.0000362457	-2.26001e-6	-1.90531e-6	10	5.2713	0.9173	10.45973	-9.30531	-9.30531	36.5618	0.1125	0.1125	-0.402	-3.572	-1.449	-0.132	0
19968	19968	1	120	82S	0.055660516023635864	0.00001	0.05594	0.00001	10.492	0.064	135.7139	83.5158	35.0177	54412.684	0.102	-1.8809	0.1706	-0.0316155	0.0230424	17.7679413116	0.0291959	0.001441572262	0.0000391223	0.000160674	-1.14723e-6	-6.39933e-7	20	15.0607	0.7729	24.348692	-0.312093	-0.312093	36.8998	0.0605	0.0605	-0.087	-1.433	-1.774	-0.059	0
1991S	1991	50	0	NULL	0.0557	0.00001	0.0557	0.00001	11.133	0.013	54.287	54.2863	54.2863	48347.922	0.573	0.4733	0.1714	-0.0586399	0.034571	17.459134143900002	0.053757	0.00191576721391	0.0000987878	-0.000262962	3.05982e-7	-2.70474e-6	43	54.8124	0.1272	157.369965	22.014469	9.4798	37.0044	0.0766	0.0766	0.028	0.361	0.452	-0.049	0
2006py	2006	5	1	NULL	0.05670167878270149	0.00001	0.05783	0.00001	9.909	0.46	111.111	100	71.4286	54070.918	0.219	0.1119	0.2145	0.00587956	0.025581	17.6174762938	0.044102	0.00156684060513	0.0000678205	0.000658043	-9.37497e-7	-1.24366e-6	22	37.7612	0.0270148	340.424988	-0.136917	-0.136917	36.9721	0.0606	0.0606	-0.089	-1.477	0.237	-0.021	0
2005hj	2005	64	0	NULL	0.05679946020245552	0.00001	0.05742	0.00001	10.009	0.013	47.6265	41.681	41.6765	53672.875	0.697	2.2662	0.3362	-0.03754	0.0314876	17.4560720851	0.0409851	0.00192117471587	0.0000730264	-0.000486455	2.89328e-6	-1.87534e-6	27	33.7875	0.1723	21.701651	-1.23814	-1.23814	37.1869	0.0827	0.0827	0.142	1.711	1.944	0.005	0
6558	6558	1	118	82S	0.05679946392774582	0.00001	0.05739	0.00001	9.769	0.062	180.9549	83.5158	35.0184	53675.027	0.092	1.0585	0.0915922	-0.0243909	0.0233139	17.4146853751	0.0344827	0.00188861789647	0.0000604797	-7.80634e-6	-6.34644e-7	-9.95812e-7	25	52.3608	0.00107886	21.701651	-1.238144	-1.238144	36.9956	0.0562	0.0562	-0.05	-0.886	1.083	-0.042	64
1992bk	1992	50	0	NULL	0.0579	0.00001	0.0579	0.00001	11.923	3.224	35.0237	32.9012	-99	48940.168	0.44	-1.6816	0.1526	-0.0815614	0.0549129	17.874323706400002	0.0575188	0.00130696775614	0.0000708461	0.00135499	-2.94738e-6	-2.90796e-6	18	15.4573	0.6931	55.796841	-53.623169	5.6716	37.1889	0.132	0.132	0.125	0.945	-1.692	-0.034	0
2006ob	2006	5	1	NULL	0.05891873314976692	0.00001	0.05916	0.00001	11.706	0.047	100	90.9091	83.3334	54063.285	0.121	-2.03446	0.0821774	-0.0308884	0.0257122	17.9902879356	0.02916	0.00117454923483	0.0000329318	-0.000255525	-8.17602e-8	-5.94684e-7	40	37.264	0.6374	27.9505	0.263417	0.263417	37.0984	0.0652	0.0652	-0.014	-0.222	-2.028	-0.037	0
2006oa	2006	64	0	NULL	0.0589478425681591	0.00001	0.06255	0.00001	9.192	0.091	50.0179	45.4664	45.4596	54067.145	0.156	1.2422	0.2473	0.00734078	0.029504	17.6414084504	0.0385895	0.00153260037683	0.0000571056	0.00114604	-3.69113e-6	-1.33381e-6	37	47.9543	0.1292	320.928925	-0.84347	-0.84347	37.1498	0.0713	0.0713	-0.089	-1.254	1.378	-0.021	0
2001ah	2001	63	0	NULL	0.05946805700659752	0.00001	0.0583	0.00001	11.105	0.019	58.837	45.4655	43.4778	52006.617	0.072	1.419	0.7436	-0.0336499	0.029252	17.431442341300002	0.0644434	0.00196530096643	0.000120097	-0.000979038	-5.24281e-6	-1.24396e-6	16	22.5174	0.1273	167.624313	55.160839	55.160839	37.0316	0.1444	0.1444	-0.048	-0.334	1.616	-0.039	0
2008bz	2008	65	1	NULL	0.061206236481666565	0.00001	0.06015	0.00001	10.995	0.017	33.67	29.7618	18.5874	54577.871	0.842	0.0320558	0.3602	-0.108188	0.0362134	17.6465616087	0.0540798	0.00161198610658	0.0000807305	-0.00234439	0.0000116737	-2.32442e-6	22	17.3205	0.7932	189.740356	11.129333	11.129333	37.2836	0.0907	0.0907	0.133	1.468	-0.25	-0.063	0
17745	17745	1	120	82S	0.06252335757017136	0.00001	0.0634	0.00001	8.898	0.029	135.7122	60.3157	31.0132	54372.57	0.155	1.0781	0.1207	-0.0475896	0.0252012	17.5604024027	0.0374323	0.0016513334995	0.0000571146	0.000347644	-2.77273e-6	-1.04561e-6	36	18.5939	0.9927	2.960156	-0.339279	-0.339279	37.2161	0.0612	0.0612	-0.054	-0.877	1.119	-0.066	0
1992bs	1992	50	0	NULL	0.06337	0.00001	0.0637	0.00001	9.987	5.235	35.0245	35.023	-99	48985.977	0.435	-0.266411	0.1254	-0.023414	0.0476193	18.0244264563	0.039929	0.00107701330519	0.0000416608	-0.00102686	1.57309e-6	-1.4427e-6	29	31.0499	0.413	52.38348	-37.268761	12.137	37.4169	0.1237	0.1237	0.136	1.103	-0.3	0.027	0
2007ae	2007	64	0	NULL	0.06451248377561569	0.00001	0.0643	0.00001	10.462	4.761	47.6236	47.61	38.4636	54153.301	0.022	1.6346	0.2894	0.0115422	0.0316399	17.577003549100002	0.045737	0.0017186438522	0.0000747601	0.000645294	-3.17866e-6	-1.68075e-6	32	24.8214	0.8462	255.466949	79.031738	79.031738	37.0673	0.0831	0.0831	-0.234	-2.82	2.035	-0.055	0
10028	10028	1	119	82N	0.06480676680803299	0.00001	0.06539	0.00001	10.597	0.075	90.475	83.5157	22.1486	53693.637	0.176	-1.21553	0.1784	0.0117198	0.0248724	18.107133421500002	0.0315208	0.00105473604869	0.0000310792	0.000643323	-1.31707e-6	-5.63395e-7	10	9.1768	0.5154	17.741789	0.276069	0.276069	37.1978	0.0618	0.0618	-0.142	-2.299	-1.072	-0.035	0
6057	6057	1	120	82N	0.06651	0.00001	0.06707	0.00001	10.071	0.049	83.512	72.3782	12.6045	53663.625	0.101	-0.420163	0.1093	0.1024	0.0295707	18.437059565600002	0.0723461	0.000778338085265	0.0000550646	-0.0000607853	-1.64587e-7	-1.23624e-6	36	49.9393	0.0611687	52.553547	-0.974675	5.6448	37.3582	0.063	0.063	-0.039	-0.623	-0.399	0.092	0
2006cj	2006	64	0	NULL	0.0686	0.00001	0.06771	0.00001	10.89	0.112	50.0098	41.6667	41.6627	53876.773	1.111	2.1207	0.6853	-0.0636468	0.029743	17.9074243317	0.0359366	0.00126775297883	0.0000423084	0.00184855	9.92156e-6	-9.41888e-7	30	13.6201	0.9971	194.852158	28.347601	28.347601	37.6988	0.1002	0.1002	0.28	2.792	0.691	-0.017	0
2006al	2006	64	0	NULL	0.069	0.00001	0.0678	0.00001	10.189	0.011	38.4646	35.7101	33.3218	53787.156	0.752	-1.40265	0.293	-0.0867265	0.0365384	18.1336887135	0.0580758	0.00102923647471	0.0000553257	0.000689745	-2.3187e-6	-9.51682e-7	21	14.7104	0.8744	159.867661	5.18344	5.18344	37.5034	0.1085	0.1085	0.081	0.748	-1.486	-0.066	0
2008Y	2008	65	1	NULL	0.07024	0.00001	0.06965	0.00001	10.886	0.07	30.6748	26.3157	22.9885	54503.715	0.044	-0.609748	0.2595	0.0850699	0.0373141	18.3584011017	0.055312	0.00083685996905	0.0000468228	-0.000153907	-1.24651e-6	-8.79086e-7	36	36.7161	0.4822	169.877426	54.462837	54.462837	37.3065	0.1091	0.1091	-0.177	-1.622	-0.437	0.037	0
2006on	2006	64	0	NULL	0.07074	0.00001	0.0719	0.00001	10.277	0.006	27.7751	25.649	23.8196	54064.16	0.703	0.9683	0.7395	0.0976454	0.0499339	18.2864370104	0.0922205	0.000894202225127	0.0000832317	0.0125597	-0.0000197682	-3.21624e-6	12	8.2591	0.7646	328.993683	-1.07022	-1.07022	37.4164	0.1285	0.1285	-0.139	-1.086	1.494	0.08	0
17240	17240	1	118	82S	0.07153	0.00001	0.07275	0.00001	10.92	0.072	63.8608	45.2274	37.4299	54337.469	0.102	-1.45483	0.3242	-0.119478	0.0504609	17.916454957600003	0.0921778	0.0012572305561	0.000109039	0.00910883	-0.0000295209	-4.73009e-6	9	4.5784	0.9175	8.641041	-1.217565	-1.217565	37.3803	0.0965	0.0965	-0.202	-2.098	-1.193	-0.175	0
